#compound Initial Optimized Reoptimized Retrained
23009G 6.679 1.897 1.897 2.02
23009H 4.891 1.301 1.301 1.43
23009I 6.769 2.523 2.523 3.392
23009J 3.082 2.475 2.475 2.691
23009K 6.426 2.642 2.642 3.194
23009L 3.076 1.49 1.49 1.643
23009M 5.272 1.53 1.53 2.607
23009O 2.424 1.447 1.447 1.453
23009N 2.863 1.718 1.718 1.629
23009P 6.247 2.725 2.725 2.797
23009Q 5.435 2.62 2.62 2.91
23009S 5.192 1.544 1.544 1.605
23009R 14.655 2.4 2.4 2.435
23009T 11.008 2.809 2.809 1.927
23009U 2.945 1.478 1.478 1.735
23009W 10.155 4.076 4.076 3.951
23009V 8.159 3.703 3.703 3.393
23009X 6.35 2.39 2.39 5.945
23009Y 13.869 3.223 3.223 3.872
23009Z 3.933 1.625 1.625 2.614
2300A0 6.001 1.935 1.935 1.657
2300A1 2.944 2.019 2.019 1.977
2300A2 3.341 2.185 2.185 2.212
2300A3 5.178 2.023 2.023 1.906
2300A5 1.17 1.024 1.024 0.988
2300A4 2.103 1.85 1.85 5.957
2300A6 3.863 2.338 2.338 2.381
2300A7 5.582 1.487 1.487 1.439
2300A8 5.293 1.317 1.317 2.934
2300A9 3.111 2.452 2.452 2.415
2300AA 4.087 2.351 2.351 2.661
2300AC 20.232 7.191 7.191 7.812
2300AB 14.219 4.361 4.361 6.168
2300AE 3.855 2.338 2.338 3.554
2300AD 12.264 1.244 1.244 4.659
2300AF 2.441 1.862 1.862 2.155
2300AG 2.829 2.275 2.275 2.456
2300AH 2.865 2.71 2.71 3.132
2300AJ 11.231 11.231 11.231 7.445
2300AI 10.236 3.071 3.071 5.501
2300AK 3.27 1.932 1.932 1.846
2300AL 9.457 3.481 3.481 4.482
2300AM 4.682 2.335 2.335 4.8
2300AO 7.297 1.953 1.953 1.677
2300AP 26.213 3.057 3.294 2.997
2300AQ 4.924 1.849 1.849 2.528
2300AR 5.775 2.317 2.317 2.708
2300AS 6.958 1.248 1.248 6.008
2300AT 8.253 1.764 1.764 1.988
2300AU 3.566 1.738 1.738 2.077
2300AV 6.165 1.406 1.406 1.55
2300AW 10.987 2.026 2.026 2.75
2300AX 4.501 1.677 1.677 1.773
2300AY 5.461 1.713 1.713 2.549
2300AZ 3.569 2.604 2.604 2.425
2300B0 6.536 1.403 1.403 1.54
2300B1 4.143 1.671 1.671 2.251
2300B2 2.53 1.397 1.397 1.442
2300B3 11.402 1.914 1.914 2.091
2300B5 1.167 1.088 1.088 1.355
2300B4 5.748 1.753 1.753 5.776
2300B6 3.755 2.297 2.297 2.852
2300B7 5.906 4.715 4.715 4.42
2300B8 3.062 2.45 2.45 2.624
2300B9 14.203 2.191 2.191 3.781
2300BA 11.17 2.107 2.107 2.139
2300BC 3.71 3.108 3.108 5.87
2300BB 5.44 2.86 2.86 3.365
2300BD 3.278 2.094 2.094 4.101
2300BF 5.492 2.449 2.449 2.83
2300BH 7.405 3.36 3.36 2.588
2300BG 7.387 1.967 1.967 3.183
2300BI 2.396 1.386 1.386 2.054
2300BK 5.083 1.475 1.475 1.476
2300BJ 7.623 1.827 1.827 2.44
2300BL 5.548 3.31 3.31 3.064
2300BN 2.468 1.662 1.662 1.848
2300BM 5.438 1.154 1.154 2.692
2300BO 3.794 2.933 2.933 3.574
2300BP 4.394 2.087 2.087 2.408
2300BQ 1.918 1.712 1.712 1.763
2300BR 10.964 3.365 3.407 5.772
2300BS 6.491 3.225 2.537 4.572
2300BT 1.787 1.21 1.21 1.334
2300BU 10.113 3.907 3.907 4.262
2300BW 6.856 2.03 2.03 2.174
2300BV 10.416 2.699 2.699 3.439
2300BX 8.575 3.093 3.093 3.087
2300BY 3.464 2.241 2.241 2.479
2300BZ 2.833 1.726 1.726 1.916
2300C0 15.225 3.842 3.842 4.095
2300C1 4.521 4.612 4.612 4.198
2300C2 6.218 1.28 1.28 2.516
2300C3 2.291 1.464 1.464 1.685
2300C4 1.411 1.174 1.174 1.244
2300C5 10.556 3.996 3.996 2.986
2300C6 4.5 4.425 2.953 5.886
2300C7 4.788 2.199 2.199 2.764
2300C8 5.055 2.703 2.342 2.185
2300C9 4.033 2.318 2.318 3.022
2300CA 4.155 1.144 1.144 2.005
2300CB 3.604 1.552 1.552 1.531
2300CC 16.956 2.575 2.575 4.805
2300CD 2.618 1.946 1.946 1.901
2300CF 5.997 2.222 2.222 2.527
2300CE 8.13 2.757 2.757 4.722
2300CG 9.591 1.853 1.853 4.351
2300CH 10.454 1.745 1.745 2.378
2300CI 14.184 2.209 2.209 3.196
2300CJ 9.448 2.579 2.579 2.857
2300CK 8.337 4.486 4.486 5.047
2300CL 4.41 2.366 2.366 2.377
2300CM 3.243 1.824 1.824 1.784
2300CO 9.799 1.561 1.561 4.903
2300CP 23.066 4.566 4.357 4.428
2300CQ 12.149 2.821 2.821 3.329
2300CR 4.271 1.575 1.575 4.749
2300CS 38.338 4.787 2.826 8.531
2300CT 7.351 3.237 3.237 3.198
2300CU 20.789 1.81 3.744 5.814
2300CV 18.597 1.941 1.808 10.555
2300CW 3.896 3.519 3.519 3.636
2300CX 7.236 1.27 1.27 1.297
2300CY 17.516 1.421 1.421 1.456
2300CZ 5.104 1.157 1.157 1.793
2300D0 4.498 1.512 1.512 3.387
2300D1 14.223 4.063 4.063 4.323
2300D2 3.247 2.583 2.583 2.466
2300D4 10.05 1.211 1.211 4.437
2300D5 4.096 2.456 2.07 4.927
2300D6 3.128 1.119 1.119 1.177
2300D7 2.557 1.288 1.288 1.341
2300D8 3.351 2.749 1.811 1.747
2300D9 6.237 1.559 1.559 1.737
2300DA 19.031 5.462 5.462 7.19
2300DC 6.135 2.474 2.474 3.041
2300DB 3.574 2.221 2.221 2.985
2300DD 9.12 1.938 1.938 2.749
2300DE 7.126 1.957 1.957 8.485
2300DF 6.448 2.422 1.991 2.266
2300DG 5.547 2.135 2.135 2.151
2300DH 13.8 1.273 1.273 3.143
2300DI 8.469 2.576 2.576 4.364
2300DJ 4.534 1.399 1.399 1.365
2300DK 3.295 2.563 2.563 2.512
2300DL 6.217 2.069 2.069 1.558
2300DM 2.948 2.965 2.965 2.9
2300DN 12.233 2.285 2.285 1.994
2300DO 5.444 1.555 1.555 6.68
2300DP 2.731 1.771 1.771 1.777
2300DQ 3.91 2.046 2.046 1.859
2300DR 7.098 1.472 1.472 1.47
2300DS 7.417 2.106 2.106 5.528
2300DT 3.477 1.925 1.925 3.111
2300DU 3.677 1.608 1.608 1.59
2300DV 5.22 1.58 1.58 2.91
2300DW 6.011 1.871 1.871 3.235
2300DX 4.711 1.916 1.916 2.196
2300DY 4.685 1.86 1.86 2.254
2300DZ 2.631 1.202 1.202 1.563
2300E1 3.313 1.959 1.959 2.111
2300E0 3.792 2.203 2.203 2.008
2300E2 1.825 1.427 1.427 1.372
2300E3 7.047 2.636 2.636 2.571
2300E4 1.847 1.528 1.528 1.358
2300E5 3.686 3.026 3.026 3.314
2300E6 6.685 2.59 2.59 2.887
2300E8 6.292 2.02 2.02 2.306
2300E7 11.118 1.626 1.626 6.403
2300EA 3.34 1.14 1.14 1.3
2300E9 3.809 1.411 1.411 1.473
2300EB 4.138 2.248 2.248 2.407
2300EC 3.989 3.318 3.318 4.771
2300ED 2.429 1.788 1.788 1.844
2300EE 2.602 1.717 1.717 2.213
2300EF 3.106 1.58 1.58 2.078
2300EH 4.702 1.973 1.973 2.892
2300EG 2.75 1.017 1.017 2.623
2300EI 3.966 1.214 1.214 1.746
2300EK 4.552 1.593 1.593 2.392
2300EL 3.292 2.036 2.036 2.129
2300EM 4.695 2.095 1.722 5.152
2300EN 4.976 1.88 1.88 4.008
2300EO 5.489 1.959 1.959 2.508
2300EP 4.052 2.321 2.321 2.696
2300ER 1.922 2.094 2.094 2.216
2300ES 5.846 2.556 2.556 3.064
2300ET 2.319 1.718 1.718 1.333
2300EU 6.714 2.675 2.675 2.672
2300EW 6.265 1.636 1.636 2.863
2300EV 6.977 1.618 1.618 6.201
2300EX 7.814 2.035 2.035 2.006
2300EY 14.622 3.091 2.055 7.983
2300F0 4.526 2.53 2.53 2.772
2300F2 2.29 1.685 1.685 1.619
2300F3 5.713 1.337 1.337 1.839
2300F4 5.879 3.265 3.265 3.415
2300F5 5.567 2.828 2.242 2.369
2300F6 9.823 2.881 2.881 3.478
2300F7 4.257 1.371 1.371 3.656
2300F8 2.601 1.488 1.488 1.621
2300F9 4.62 1.444 1.444 6.823
2300FA 4.393 1.4 1.4 2.883
2300FB 4.773 2.045 2.045 2.022
2300FC 2.752 2.302 2.302 2.425
2300FD 6.714 1.582 1.582 4.178
2300FE 3.776 1.76 1.76 1.971
2300FF 6.887 2.494 2.494 2.936
2300FG 5.32 1.179 1.179 2.287
2300FH 3.072 1.461 1.461 1.615
2300FI 5.083 1.814 1.814 2.259
2300FJ 8.457 2.099 2.049 2.555
2300FK 2.896 1.322 1.322 1.296
2300FL 8.853 3.258 3.258 5.731
2300FM 5.663 1.773 1.773 2.915
2300FN 13.176 4.631 4.631 3.687
2300FO 4.746 2.089 2.089 2.655
2300FP 2.157 1.264 1.264 1.414
2300FQ 2.598 1.371 1.371 1.954
2300FR 2.508 2.074 2.074 1.898
2300FS 6.376 3.488 3.158 5.088
2300FT 2.408 1.547 1.547 1.514
2300FV 3.514 3.514 3.514 3.48
2300FU 6.162 2.617 2.617 3.296
2300FW 3.176 2.809 2.809 2.918
2300FY 2.552 1.279 1.279 1.808
2300FX 4.741 1.054 1.054 1.469
2300G0 7.768 2.471 2.471 7.633
2300G1 5.568 1.962 1.962 4.3
2300G2 10.752 1.751 1.751 4.448
2300G3 4.428 1.89 1.89 1.952
2300G4 4.597 2.504 2.504 2.729
2300G5 5.969 2.19 1.911 4.292
2300G6 7.7 1.667 1.667 1.89
2300G7 5.493 1.143 1.143 1.525
2300G8 6.169 2.109 2.109 2.886
2300G9 6.425 3.456 3.233 4.003
2300GA 6.588 1.662 1.662 2.566
2300GB 3.71 1.933 1.933 1.92
2300GC 6.314 2.605 2.605 5.237
2300GE 4.542 2.365 2.365 2.164
2300GD 9.754 1.945 1.945 6.738
2300GF 3.657 3.704 3.704 3.851
2300GG 5.815 2.634 2.634 5.148
2300GK 4.359 2.197 2.197 2.243
2300GJ 5.528 1.407 1.407 1.509
2300GI 9.619 1.313 1.313 6.361
2300GL 19.218 1.627 1.526 6.245
2300GM 6.776 2.816 2.816 2.885
2300GN 29.764 2.778 2.701 2.4
2300GP 1.909 1.657 1.657 1.609
2300GQ 1.674 1.257 1.257 1.697
2300GO 2.946 0.951 0.951 1.565
2300GR 3.072 1.318 1.318 1.591
2300GS 2.197 1.206 1.206 1.462
2300GT 2.117 1.112 1.112 1.359
2300GV 2.445 2.266 2.266 2.731
2300GW 5.652 2.228 2.228 5.888
2300GX 8.601 3.284 1.374 4.732
2300GY 3.366 1.901 1.901 1.735
2300GZ 6.027 2.719 2.719 2.582
2300H0 5.786 3.494 2.773 2.318
2300H1 5.477 1.944 1.944 1.943
2300H3 3.497 1.419 1.419 1.579
2300H2 4.807 1.744 1.744 1.58
2300H4 4.217 1.531 1.531 1.518
2300H5 6.663 3.288 3.288 3.363
2300H6 13.794 2.423 2.312 6.456
2300H7 4.851 1.653 1.653 3.8
2300H8 18.998 1.7 1.7 2.446
2300H9 8.083 2.473 2.473 4.399
2300HA 3.328 2.031 2.031 1.862
2300HB 10.886 3.776 3.776 3.178
2300HC 7.868 1.989 1.989 2.41
2300HD 3.512 1.462 1.462 2.32
2300HF 2.141 1.466 1.466 1.452
2300HE 2.709 1.653 1.653 1.666
2300HG 6.883 2.168 1.524 2.647
2300HH 2.443 1.357 1.357 1.384
2300HI 2.625 1.641 1.641 1.691
2300HJ 1.941 1.432 1.432 1.426
2300HK 4.565 2.112 2.112 2.973
2300HM 3.767 1.811 1.811 2.209
2300HL 3.105 2.186 2.186 2.362
2300HN 7.511 1.81 1.81 1.451
2300HO 5.1 2.014 2.014 2.912
2300HP 8.381 2.2 2.2 2.454
2300HQ 4.764 4.066 4.066 4.439
2300HR 2.29 1.069 1.069 0.979
2300HS 2.542 1.746 1.746 1.746
2300HU 2.735 1.907 1.907 2.055
2300HT 9.271 2.372 2.372 2.983
2300HV 9.293 2.515 2.515 6.154
2300HW 3.406 1.976 1.976 1.389
2300HX 14.212 2.592 2.592 3.271
2300HZ 2.233 1.592 1.592 1.239
2300HY 6.028 2.543 2.543 2.675
2300I1 0.904 0.951 0.951 0.956
2300I2 6.081 1.619 1.619 2.434
2300I3 3.807 2.647 2.647 2.633
2300I4 6.688 2.346 2.346 7.377
2300I5 4.121 3.028 3.028 2.774
2300I6 4.164 2.447 2.447 1.929
2300I7 4.056 1.241 1.241 4.878
2300I8 17.546 2.745 2.745 3.554
2300I9 16.43 1.43 2.253 9.37
2300IA 4.27 1.737 1.737 3.153
2300IC 2.537 1.395 1.395 1.483
2300IB 5.027 1.811 1.811 3.851
2300IE 2.702 2.198 2.198 2.054
2300IF 7.625 2.041 2.041 4.435
2300IG 5.897 2.141 2.141 2.171
2300IH 1.262 1.04 1.04 2.17
2300IJ 9.875 1.666 1.666 2.352
2300II 11.53 1.725 1.963 4.851
2300IL 5.28 2.606 2.606 3.435
2300IM 5.653 2.387 2.387 2.974
2300IN 6.159 1.224 1.224 1.813
2300IO 4.797 1.738 1.738 1.413
2300IP 27.648 1.975 2.641 5.546
2300IQ 11.177 1.884 1.884 2.52
2300IR 5.265 2.531 2.531 3.496
2300IS 11.365 2.344 2.344 3.753
2300IT 5.997 2.114 2.114 6.379
2300IV 2.313 2.09 2.09 2.48
2300IU 2.909 1.986 1.986 2.041
2300IW 4.5 1.865 1.865 2.301
2300IX 3.722 1.589 1.589 2.986
2300IY 5.123 1.905 2.408 2.555
2300J0 7.649 1.524 1.524 1.526
2300IZ 4.803 1.965 1.965 2.076
2300J1 2.836 1.874 1.874 2.216
2300J2 4.824 1.36 1.36 2.072
