#compound QM_x QM_y QM_z Initial_x Initial_y Initial_z Optimized_x Optimized_y Optimized_z Reoptimized_x Reoptimized_y Reoptimized_z Retrained_x Retrained_y Retrained_z
23005N 1.46 1.684 -0.544 1.378 2.73 -0.417 1.465 1.686 -0.544 1.465 1.686 -0.544 1.482 1.178 -0.598
23005O -1.076 -1.15 -0.745 -1.87 -0.021 -1.527 -1.073 -1.148 -0.757 -1.077 -1.162 -0.723 -2.818 -0.35 -1.241
23005Q -0.467 0.237 0.002 -1.662 1.374 -0.056 -0.499 0.233 0.021 -0.499 0.233 0.021 -0.448 -0.276 -0.229
23005M -0.367 0.064 -2.042 -0.979 1.535 -1.973 -0.303 0.068 -1.848 -0.303 0.068 -1.848 1.248 1.014 -1.768
23005R 15.95 0.018 -1.184 16.09 0.456 0.327 16.09 0.456 0.327 16.09 0.456 0.327 16.09 0.456 0.327
23005S 6.97 0.632 1.03 2.015 0.283 0.531 5.892 0.468 0.795 5.892 0.468 0.795 3.441 0.319 0.688
23005T -3.813 -0.34 -0.364 -2.556 3.293 -0.387 -3.816 -0.334 -0.366 -3.82 -0.346 -0.366 -3.378 -0.555 -0.437
23005V 4.904 -2.592 5.516 3.19 -2.655 5.624 4.069 -2.176 4.661 4.069 -2.176 4.661 3.356 -2.2 4.847
23005W -11.969 4.612 -0.004 -6.037 9.732 -0.005 -10.26 4.057 -0.003 -10.26 4.057 -0.003 -7.813 4.786 -0.004
23005X 6.543 3.361 -0.683 4.843 2.952 -0.638 5.866 3.041 -0.573 5.685 2.811 -0.542 4.631 3.518 -0.415
23005Y 4.624 -5.283 -2.193 2.671 -3.618 -1.952 3.688 -4.19 -1.736 3.688 -4.19 -1.736 3.504 -4.099 -1.837
230061 -0.172 -4.728 -0.415 -1.71 -3.737 -1.198 -0.508 -4.042 -0.863 -0.508 -4.042 -0.863 -0.351 -4.039 -0.863
230064 -8.533 -0.344 1.526 -3.845 -1.367 1.125 -6.872 -0.422 1.261 -6.872 -0.422 1.261 -6.791 -0.432 1.262
230065 1.041 -8.87 1.188 1.407 -7.266 0.435 0.634 -8.015 0.851 0.612 -7.587 0.973 0.487 -7.227 0.965
230066 -7.7 -4.548 1.853 -7.781 -4.327 1.979 -6.905 -4.092 1.726 -6.905 -4.092 1.726 -6.376 -4.065 1.728
230067 -6.367 0.33 0.001 -5.518 1.677 0.0 -5.437 0.468 0.0 -5.437 0.468 0.0 -5.444 0.43 0.0
230068 -0.594 1.472 0.318 -0.87 2.698 0.734 -0.592 1.468 0.317 -0.592 1.468 0.317 -0.527 1.485 0.281
23006A -10.363 3.682 -0.722 -6.706 3.623 -1.068 -9.076 3.423 -0.626 -8.806 3.407 -0.446 -9.108 3.433 -0.445
23006C -7.223 3.584 2.51 0.358 0.673 0.951 -6.261 3.198 1.991 -6.261 3.198 1.991 -4.037 2.504 2.118
23006E 0.0 0.791 0.0 0.0 0.452 -0.0 0.0 0.78 -0.0 0.0 0.78 -0.0 0.0 -0.782 -0.0
23006F -0.333 0.607 -1.778 0.085 0.725 -1.829 -0.294 0.596 -1.782 -0.341 0.613 -1.78 2.434 0.489 -1.662
23006G 0.038 -5.614 0.277 0.602 -4.308 0.346 -0.02 -4.43 0.342 -0.02 -4.43 0.342 -0.063 -4.178 0.275
23006I 3.717 3.121 0.044 2.258 1.774 0.132 3.708 3.115 0.044 3.695 3.119 0.047 4.711 2.676 0.072
23006K 2.435 -3.88 -0.0 1.183 -5.449 0.002 2.23 -3.678 0.003 2.23 -3.678 0.003 -2.31 -2.735 0.002
23006N -0.755 0.472 0.774 -0.426 -0.278 1.302 -0.759 0.444 0.874 -0.759 0.444 0.874 -0.752 0.583 0.847
23006M 0.892 2.65 1.784 -1.66 3.045 1.524 0.873 2.641 1.78 0.873 2.641 1.78 1.469 2.705 1.697
23006O 4.903 -2.315 0.536 2.915 -3.187 1.241 4.43 -2.183 0.612 4.43 -2.183 0.612 4.946 -1.374 0.661
23006P 7.663 -0.266 -0.0 6.526 -1.276 -0.0 6.696 -0.327 0.0 6.696 -0.327 0.0 6.301 -0.548 -0.0
23006T 1.475 -0.312 0.049 5.158 2.214 -0.497 1.445 -0.295 0.046 1.445 -0.295 0.046 1.703 -0.228 0.03
23006U 0.419 2.67 0.581 0.922 -1.793 0.738 0.407 2.683 0.583 0.407 2.683 0.583 3.179 2.069 0.614
23006V -1.143 2.77 -3.619 -0.118 2.253 -3.508 -0.967 2.495 -3.165 -0.967 2.495 -3.165 -0.441 2.608 -3.288
23006W 2.688 -4.16 -0.0 4.922 -3.637 0.0 2.699 -4.059 0.0 2.699 -4.059 0.0 2.934 -4.186 0.001
23006X 0.673 0.381 -0.569 -0.712 0.422 -0.979 0.642 0.375 -0.631 0.642 0.375 -0.631 0.434 0.375 -0.644
23006Y -0.321 -1.747 -0.934 -0.802 -2.262 -0.985 -0.324 -1.728 -0.906 -0.324 -1.728 -0.906 -1.192 -0.902 -0.616
23006Z -0.816 1.465 1.322 -1.551 3.218 1.317 -0.84 1.468 1.323 -0.84 1.468 1.323 -0.491 1.736 1.301
230070 3.515 1.315 0.483 3.471 1.285 0.358 3.485 1.324 0.332 3.485 1.324 0.332 3.214 1.154 0.291
230071 0.885 -6.629 1.181 1.424 -2.434 0.837 1.05 -5.452 0.891 0.9 -5.533 0.889 0.842 -5.412 0.891
230073 -4.774 3.606 0.218 -5.858 0.452 -0.0 -4.767 3.611 0.218 -4.574 3.594 0.072 -4.13 3.842 0.064
230074 -2.517 -1.03 0.003 -0.667 -2.165 0.003 -2.521 -1.026 0.003 -2.521 -1.026 0.003 -2.306 -1.082 0.003
