#compound Initial Optimized Reoptimized Retrained
2300CK 34.09 0.3 0.3 5.96
2300CL 118.79 2.71 2.71 4.74
2300CM 5.42 0.08 0.08 11.45
2300CP 0.34 0.14 0.14 0.14
2300CQ 95.14 0.68 0.68 13.99
2300CT 26.31 1.33 1.33 1.03
2300CW 16.94 0.48 0.48 2.18
2300CY 112.19 2.97 2.97 4.81
2300CZ 0.0 0.0 0.0 0.0
2300D0 14.97 0.06 0.06 4.12
2300D1 52.24 0.22 0.22 3.64
2300D2 4.64 0.15 0.15 5.12
2300D5 32.8 0.62 0.23 39.27
2300D6 51.61 0.7 0.7 4.93
2300D8 15.32 0.79 0.79 3.32
2300DC 37.92 5.33 5.33 12.8
2300DB 25.89 0.4 0.4 3.8
2300DF 63.02 0.78 2.63 7.37
2300DI 79.09 3.44 3.44 20.16
2300DK 12.73 0.19 0.19 0.49
2300DL 34.39 1.03 1.03 5.31
2300DM 2.36 0.64 0.64 1.9
2300DN 87.13 0.53 0.53 1.28
2300DP 20.76 1.86 1.86 2.56
2300DQ 13.64 1.05 1.05 3.37
2300DU 59.99 0.07 0.07 3.09
2300DX 33.07 1.42 1.42 4.98
2300E1 6.42 3.68 3.68 5.79
2300E0 10.72 3.61 3.61 7.71
2300E2 29.15 0.76 0.76 2.71
2300E3 3.05 1.11 1.11 2.87
2300E4 2.25 0.2 0.2 0.39
2300E5 4.5 1.5 1.5 6.45
2300E8 49.46 0.62 0.62 12.97
2300EB 5.38 1.99 1.99 3.21
2300EC 12.4 0.09 0.09 7.39
2300ED 6.88 0.37 0.37 0.83
2300EE 48.06 0.61 0.61 36.05
2300EF 31.41 0.12 0.12 15.5
2300EH 46.48 0.18 0.18 24.34
2300EL 19.72 0.65 0.65 10.0
2300EM 20.03 2.43 1.31 44.24
2300EO 30.06 0.11 0.11 5.73
2300EP 22.4 1.11 1.11 10.08
2300ER 3.4 1.66 1.66 1.57
2300ES 25.58 0.93 0.93 15.02
2300ET 12.0 1.15 1.15 2.62
2300F2 4.96 1.91 1.91 1.66
2300F3 65.12 0.07 0.07 8.97
2300F4 9.9 0.78 0.78 6.21
2300F5 52.67 0.38 0.12 3.34
2300F6 15.56 0.08 0.08 7.42
2300F8 10.93 3.59 3.59 7.45
2300FE 19.75 0.54 0.54 1.91
2300FG 45.87 1.3 1.3 18.34
2300FK 13.08 0.61 0.61 2.28
2300FM 81.23 0.94 0.94 39.4
2300FN 32.7 0.05 0.05 2.15
2300FP 11.29 1.3 1.3 5.01
2300FQ 19.59 1.03 1.03 16.62
2300FR 9.33 0.92 0.92 6.34
