#compound Initial Optimized Reoptimized Retrained
23009N 0.6 0.25 0.25 0.26
23009P 1.95 1.26 1.26 1.28
23009Q 1.21 0.48 0.48 0.53
23009S 0.73 0.3 0.3 0.31
23009R 3.52 0.47 0.47 0.51
23009T 4.02 0.35 0.35 0.45
23009U 0.71 0.49 0.49 0.49
23009W 2.04 0.52 0.52 0.51
23009V 1.66 0.46 0.46 0.53
23009X 1.23 0.83 0.83 1.32
23009Y 3.89 0.61 0.61 1.08
23009Z 1.15 0.61 0.61 0.72
2300A0 1.45 0.46 0.46 0.46
2300A1 0.47 0.35 0.35 0.34
2300A2 1.08 0.29 0.29 0.41
2300A3 1.13 0.41 0.41 0.46
2300A5 0.29 0.16 0.16 0.17
2300A4 0.95 0.85 0.85 1.35
2300A6 1.76 0.52 0.52 0.53
2300A7 1.4 0.41 0.41 0.42
2300A8 1.39 0.57 0.57 0.72
2300A9 0.83 0.64 0.64 0.55
2300AA 0.93 0.46 0.46 0.64
2300AC 8.71 0.5 0.5 0.47
2300AB 4.77 0.63 0.63 2.63
2300AE 0.84 0.46 0.46 0.66
2300AD 3.22 0.59 0.59 1.0
2300AF 0.48 0.33 0.33 0.36
2300AG 0.52 0.47 0.47 0.44
2300AH 0.57 0.38 0.38 0.37
2300AJ 3.07 3.07 3.07 1.49
2300AI 2.94 0.32 0.32 1.39
2300AK 0.52 0.34 0.34 0.34
2300AL 1.82 0.43 0.43 0.69
2300AM 1.86 0.98 0.98 1.12
2300AO 2.05 0.5 0.5 0.49
2300AP 8.02 2.06 0.68 0.84
2300AQ 1.34 0.58 0.58 0.74
2300AR 1.44 0.65 0.65 0.89
2300AS 1.59 0.72 0.72 1.31
2300AT 2.11 0.36 0.36 0.35
2300AU 0.58 0.41 0.41 0.54
2300AV 1.69 0.23 0.23 0.26
2300AW 1.05 0.44 0.44 0.62
2300AX 1.14 0.23 0.23 0.24
2300AY 2.23 0.73 0.73 0.98
2300AZ 0.86 0.79 0.79 0.71
2300B0 1.02 0.19 0.19 0.2
2300B1 0.95 0.4 0.4 0.47
2300B2 1.04 0.36 0.36 0.35
2300B3 1.47 0.76 0.76 0.85
2300B5 0.16 0.19 0.19 0.22
2300B4 0.99 0.42 0.42 0.95
2300B6 1.34 0.51 0.51 0.65
2300B7 1.13 0.78 0.78 0.81
2300B8 1.06 0.73 0.73 0.89
2300B9 3.32 0.66 0.66 1.12
2300BA 1.85 0.35 0.35 0.39
2300BC 1.21 0.65 0.65 1.01
2300BB 1.3 0.64 0.64 0.79
2300BD 0.72 0.49 0.49 0.68
2300BF 1.58 0.44 0.44 0.56
2300BH 1.53 0.6 0.6 0.67
2300BG 2.63 0.71 0.71 1.0
2300BI 0.61 0.34 0.34 0.39
2300BK 0.98 0.49 0.49 0.52
2300BJ 1.34 0.44 0.44 0.43
2300BL 1.72 0.14 0.14 0.56
2300BN 0.63 0.42 0.42 0.41
2300BM 1.61 0.42 0.42 0.83
2300BO 1.22 0.48 0.48 0.74
2300BP 1.24 0.92 0.92 0.89
2300BQ 1.05 0.32 0.32 0.35
2300BR 3.32 0.96 0.6 1.26
2300BS 1.18 0.64 0.66 1.18
2300BT 0.87 0.28 0.28 0.29
2300BU 1.22 0.65 0.65 0.58
2300BW 0.66 0.31 0.31 0.36
2300BV 1.67 0.52 0.52 0.59
2300BX 2.78 0.78 0.78 0.77
2300BY 1.34 0.47 0.47 0.55
2300BZ 1.25 0.53 0.53 0.57
2300C0 3.24 0.91 0.91 0.99
2300C1 0.9 0.65 0.65 0.67
2300C2 1.99 0.49 0.49 1.05
2300C3 0.28 0.23 0.23 0.24
2300C4 0.67 0.32 0.32 0.3
2300C5 2.89 0.7 0.7 0.77
2300C6 0.99 0.5 0.67 0.78
2300C7 1.21 0.74 0.74 1.08
2300C8 1.85 0.85 0.76 0.84
2300C9 0.71 0.42 0.42 0.55
2300CA 0.93 0.54 0.54 0.66
2300CB 0.96 0.62 0.62 0.63
2300CC 3.9 0.43 0.43 0.49
2300CD 0.56 0.39 0.39 0.44
2300CF 1.39 0.77 0.77 0.85
2300CE 1.69 0.92 0.92 0.89
2300CG 2.36 0.49 0.49 1.11
2300CH 2.06 0.26 0.26 0.36
2300CI 2.65 0.57 0.57 1.05
2300CJ 1.17 0.41 0.41 0.4
2300CK 1.05 0.5 0.5 0.56
2300CL 0.74 0.32 0.32 0.36
2300CM 0.71 0.57 0.57 0.53
2300CO 3.12 1.21 1.21 1.98
2300CP 6.09 0.46 0.45 0.43
2300CQ 1.9 0.43 0.43 0.62
2300CR 1.13 0.55 0.55 1.01
2300CS 10.5 0.85 0.61 2.03
2300CT 1.61 0.49 0.49 0.48
2300CU 3.38 0.49 0.44 0.89
2300CV 3.22 0.68 0.7 2.13
2300CW 1.33 0.39 0.39 0.38
2300CX 2.09 0.72 0.72 0.72
2300CY 2.23 0.5 0.5 0.52
2300CZ 1.16 0.37 0.37 0.81
2300D0 1.32 0.22 0.22 0.58
2300D1 2.37 0.45 0.45 0.45
2300D2 0.89 0.66 0.66 0.65
2300D4 1.85 0.53 0.53 1.05
2300D5 1.03 0.53 0.66 0.93
2300D6 0.72 0.15 0.15 0.17
2300D7 0.57 0.39 0.39 0.39
2300D8 1.53 0.56 0.31 0.29
2300D9 0.97 0.45 0.45 0.4
2300DA 2.77 0.98 0.98 1.13
2300DC 1.1 0.66 0.66 1.15
2300DB 0.82 0.47 0.47 0.53
2300DD 1.26 0.47 0.47 0.57
2300DE 2.22 0.54 0.54 2.27
2300DF 1.02 0.87 0.6 0.69
2300DG 1.41 0.09 0.09 0.09
2300DH 3.2 0.31 0.31 0.75
2300DI 1.51 0.74 0.74 0.79
2300DJ 0.68 0.51 0.51 0.58
2300DK 1.06 0.43 0.43 0.43
2300DL 2.14 0.89 0.89 0.94
2300DM 0.5 0.36 0.36 0.38
2300DN 1.18 0.44 0.44 0.4
2300DO 0.97 0.43 0.43 1.27
2300DP 0.61 0.28 0.28 0.28
2300DQ 0.93 0.43 0.43 0.44
2300DR 1.16 0.51 0.51 0.53
2300DS 1.75 0.63 0.63 1.26
2300DT 1.46 0.44 0.44 0.58
2300DU 0.9 0.41 0.41 0.41
2300DV 1.46 0.81 0.81 1.08
2300DW 2.47 0.35 0.35 0.47
2300DX 0.81 0.51 0.51 0.63
2300DY 0.54 0.51 0.51 0.47
2300DZ 1.15 0.77 0.77 0.9
2300E1 0.63 0.29 0.29 0.29
2300E0 0.7 0.43 0.43 0.47
2300E2 0.49 0.5 0.5 0.45
2300E3 1.26 0.61 0.61 0.61
2300E4 0.8 0.68 0.68 0.67
2300E5 0.7 0.33 0.33 0.35
2300E6 1.2 0.59 0.59 0.58
2300E8 1.35 0.35 0.35 0.42
2300E7 2.46 0.47 0.47 1.04
2300EA 0.66 0.53 0.53 0.53
2300E9 0.62 0.52 0.52 0.52
2300EB 1.14 0.45 0.45 0.45
2300EC 0.65 0.45 0.45 0.68
2300ED 0.73 0.52 0.52 0.54
2300EE 0.36 0.25 0.25 0.35
2300EF 0.64 0.34 0.34 0.37
2300EH 0.79 0.36 0.36 0.47
2300EG 0.87 0.4 0.4 0.69
2300EI 0.6 0.25 0.25 0.34
2300EK 0.68 0.52 0.52 0.47
2300EL 0.92 0.37 0.37 0.38
2300EM 1.64 0.78 0.55 1.29
2300EN 0.96 0.6 0.6 0.99
2300EO 1.48 0.51 0.51 0.61
2300EP 0.77 0.49 0.49 0.5
2300ER 0.83 0.77 0.77 0.77
2300ES 1.24 0.39 0.39 0.42
2300ET 0.49 0.36 0.36 0.31
2300EU 1.8 0.62 0.62 0.64
2300EW 1.02 0.46 0.46 0.57
2300EV 0.69 0.28 0.28 0.96
2300EX 1.89 0.62 0.62 0.63
2300EY 4.27 0.88 0.7 1.59
2300F0 2.03 0.31 0.31 0.34
2300F2 0.64 0.39 0.39 0.39
2300F3 0.97 0.15 0.15 0.22
2300F4 0.87 0.83 0.83 0.76
2300F5 1.05 0.97 0.83 0.89
2300F6 2.85 0.46 0.46 0.51
2300F7 1.48 0.64 0.64 1.15
2300F8 0.42 0.34 0.34 0.32
2300F9 1.61 0.36 0.36 1.26
2300FA 0.64 0.39 0.39 0.49
2300FB 1.25 0.31 0.31 0.4
2300FC 0.99 0.71 0.71 0.7
2300FD 1.2 0.34 0.34 0.59
2300FE 0.64 0.51 0.51 0.54
2300FF 2.14 0.21 0.21 0.59
2300FG 1.01 0.27 0.27 0.37
2300FH 0.6 0.43 0.43 0.46
2300FI 2.21 0.91 0.91 1.06
2300FJ 3.34 0.5 0.42 0.5
2300FK 0.8 0.33 0.33 0.3
2300FL 2.19 0.74 0.74 1.05
2300FM 0.72 0.29 0.29 0.46
2300FN 1.85 0.48 0.48 0.56
2300FO 1.3 0.55 0.55 0.56
2300FP 0.57 0.28 0.28 0.28
2300FQ 0.47 0.2 0.2 0.22
2300FR 0.36 0.35 0.35 0.43
2300FS 1.42 0.35 0.49 0.59
2300FT 0.97 0.46 0.46 0.61
2300FV 0.8 0.8 0.8 0.62
2300FU 1.0 0.72 0.72 0.73
2300FW 0.82 0.43 0.43 0.58
2300FY 0.79 0.65 0.65 0.74
2300FX 0.81 0.44 0.44 0.51
2300G0 1.88 0.7 0.7 1.68
2300G1 1.5 0.41 0.41 0.68
2300G2 3.51 0.46 0.46 1.09
2300G3 1.0 0.45 0.45 0.52
2300G4 0.85 0.64 0.64 0.65
2300G5 1.1 0.62 0.62 0.76
2300G6 2.63 0.39 0.39 0.29
2300G7 1.38 0.66 0.66 0.62
2300G8 1.02 0.41 0.41 0.52
2300G9 1.93 0.83 0.84 0.71
2300GA 1.47 0.27 0.27 0.44
2300GB 0.57 0.33 0.33 0.32
2300GC 2.36 0.6 0.6 0.82
2300GE 0.95 0.31 0.31 0.35
2300GD 1.24 0.54 0.54 1.03
2300GF 1.16 0.67 0.67 0.83
2300GG 1.64 1.16 1.16 1.59
2300GK 0.87 0.51 0.51 0.52
2300GJ 1.44 0.79 0.79 0.94
2300GI 3.57 1.0 1.0 2.04
2300GL 4.69 0.8 0.8 1.47
2300GM 2.08 0.83 0.83 0.8
2300GN 4.19 0.32 0.37 0.39
2300GP 0.39 0.26 0.26 0.26
2300GQ 0.27 0.22 0.22 0.25
2300GO 0.64 0.42 0.42 0.49
2300GR 0.66 0.26 0.26 0.25
2300GS 0.7 0.15 0.15 0.22
2300GT 0.65 0.51 0.51 0.48
2300GV 0.53 0.5 0.5 0.57
2300GW 1.48 0.81 0.81 1.34
2300GX 1.55 0.71 0.31 0.99
2300GY 0.98 0.4 0.4 0.42
2300GZ 1.27 0.6 0.6 0.69
2300H0 1.54 0.55 0.56 0.69
2300H1 1.11 0.36 0.36 0.38
2300H3 0.94 0.33 0.33 0.42
2300H2 1.36 0.45 0.45 0.61
2300H4 1.17 0.49 0.49 0.48
2300H5 1.16 0.41 0.41 0.4
2300H6 1.97 0.71 0.71 1.01
2300H7 1.0 0.51 0.51 0.94
2300H8 4.59 0.41 0.41 0.5
2300H9 2.02 0.51 0.51 0.71
2300HA 1.48 0.89 0.89 0.88
2300HB 1.72 0.63 0.63 0.56
2300HC 1.63 0.39 0.39 0.47
2300HD 0.93 0.29 0.29 0.36
2300HF 0.42 0.26 0.26 0.27
2300HE 0.36 0.27 0.27 0.3
2300HG 1.01 0.31 0.29 0.5
2300HH 0.32 0.19 0.19 0.22
2300HI 0.55 0.61 0.61 0.6
2300HJ 0.28 0.25 0.25 0.24
2300HK 0.88 0.4 0.4 0.47
2300HM 1.62 1.2 1.2 1.15
2300HL 1.07 0.26 0.26 0.35
2300HN 1.34 0.4 0.4 0.44
2300HO 0.65 0.55 0.55 0.46
2300HP 1.55 0.34 0.34 0.37
2300HQ 0.94 0.5 0.5 0.49
2300HR 0.47 0.29 0.29 0.29
2300HS 0.7 0.38 0.38 0.39
2300HU 1.3 0.88 0.88 0.74
2300HT 3.82 0.07 0.07 0.24
2300HV 2.02 0.62 0.62 1.34
2300HW 0.89 0.46 0.46 0.41
2300HX 3.43 0.54 0.54 0.65
2300HZ 0.9 0.88 0.88 0.83
2300HY 0.87 0.15 0.15 0.35
2300I1 0.16 0.17 0.17 0.17
2300I2 1.68 0.5 0.5 0.63
2300I3 0.57 0.38 0.38 0.37
2300I4 2.18 0.74 0.74 1.75
2300I5 1.01 0.92 0.92 0.89
2300I6 1.08 0.19 0.19 0.21
2300I7 1.36 0.46 0.46 1.29
2300I8 4.4 1.06 1.06 1.05
2300I9 2.94 0.58 0.51 1.63
2300IA 0.83 0.3 0.3 0.46
2300IC 0.46 0.3 0.3 0.32
2300IB 2.98 0.36 0.36 0.76
2300IE 0.66 0.37 0.37 0.37
2300IF 1.44 0.47 0.47 0.83
2300IG 1.3 0.34 0.34 0.34
2300IH 0.19 0.13 0.13 0.29
2300IJ 2.11 0.3 0.3 0.42
2300II 2.23 0.37 0.38 0.76
2300IL 1.57 0.39 0.39 0.44
2300IM 1.49 0.41 0.41 0.28
2300IN 0.86 0.18 0.18 0.34
2300IO 1.16 0.29 0.29 0.3
2300IP 3.9 0.73 0.7 1.23
2300IQ 1.98 0.36 0.36 0.44
2300IR 2.14 0.71 0.71 0.82
2300IS 2.1 0.44 0.44 0.55
2300IT 1.6 0.65 0.65 1.01
2300IV 0.28 0.29 0.29 0.26
2300IU 0.51 0.39 0.39 0.34
2300IW 0.99 0.33 0.33 0.41
2300IX 0.71 0.61 0.61 0.62
2300IY 1.79 0.36 0.35 0.35
2300J0 2.13 0.14 0.14 0.27
2300IZ 1.75 0.24 0.24 0.33
2300J1 0.66 0.2 0.2 0.35
2300J2 0.94 0.33 0.33 0.49
2300J3 2.49 0.32 0.32 0.45
2300J4 0.66 0.24 0.24 0.38
2300J5 1.04 0.29 0.29 0.3
2300J6 0.75 0.41 0.41 0.4
2300J8 0.93 0.42 0.42 0.48
2300J7 1.36 0.65 0.65 0.88
2300JA 0.68 0.41 0.41 0.42
2300J9 1.91 0.15 0.15 0.47
2300JB 0.7 0.5 0.5 0.58
2300JC 1.48 1.17 1.17 1.25
2300JD 0.86 0.56 0.56 0.58
2300JE 1.26 0.57 0.57 0.65
2300JF 0.73 0.48 0.48 0.51
2300JH 0.39 0.4 0.4 0.39
2300JG 0.6 0.37 0.37 0.33
