#E_qm E_ini E_opt E_reo E_ret zincID
1.61	2.04 	2.11 	2.11 	2.03 23001S 
1.78	6.71 	4.13 	4.13 	4.26 23001S 
1.89	2.96 	1.41 	1.41 	1.41 23001S 
1.92	0.00 	0.00 	0.00 	0.00 23001S 
2.12	2.50 	0.89 	0.89 	0.92 23001S 
2.13	2.67 	4.85 	4.85 	4.89 23001S 
2.19	4.80 	3.76 	3.76 	3.86 23001S 
2.26	1.13 	0.80 	0.80 	0.77 23001S 
2.29	5.89 	4.45 	4.45 	4.54 23001S 
2.31	5.93 	4.05 	4.05 	4.18 23001S 
2.34	3.15 	2.27 	2.27 	2.20 23001S 
2.43	3.16 	1.98 	1.98 	2.15 23001S 
2.43	3.17 	1.98 	1.98 	2.15 23001S 
2.47	2.32 	1.33 	1.33 	1.53 23001S 
2.61	4.03 	1.70 	1.70 	1.71 23001S 
2.67	1.09 	0.17 	0.17 	0.18 23001S 
2.77	4.71 	3.31 	3.31 	3.38 23001S 
2.90	3.58 	1.08 	1.08 	1.12 23001S 
2.94	5.71 	4.70 	4.70 	4.81 23001S 
2.97	4.26 	2.88 	2.88 	2.87 23001S 
2.97	4.27 	2.88 	2.88 	2.87 23001S 
2.97	2.21 	1.03 	1.03 	1.01 23001S 
2.98	3.79 	5.05 	5.05 	5.10 23001S 
3.16	4.20 	2.23 	2.23 	2.41 23001S 
3.29	3.39 	1.52 	1.52 	1.73 23001S 
3.59	5.81 	3.44 	3.44 	3.52 23001S 
3.68	6.81 	4.95 	4.95 	5.06 23001S 
3.70	5.34 	3.12 	3.12 	3.12 23001S 
2.13	2.66 	4.85 	4.85 	4.89 23001S 
3.70	5.35 	3.13 	3.13 	3.13 23001S 
2.98	3.77 	5.04 	5.04 	5.09 23001S 
2.12	2.49 	0.88 	0.88 	0.92 23001S 
2.98	3.78 	5.04 	5.04 	5.09 23001S 
1.61	2.03 	2.10 	2.10 	2.03 23001S 
2.90	3.58 	1.09 	1.09 	1.12 23001S 
2.34	3.14 	2.27 	2.27 	2.20 23001S 
2.90	3.59 	1.09 	1.09 	1.12 23001S 
2.67	1.10 	0.17 	0.17 	0.18 23001S 
1.92	0.00 	0.00 	0.00 	0.00 23001S 
9.34	9.00 	8.68 	8.68 	8.76 23001S 
2.12	2.49 	0.89 	0.89 	0.92 23001S 
9.68	6.63 	6.48 	6.48 	6.63 23001S 
2.19	4.80 	3.76 	3.76 	3.87 23001S 
2.19	4.81 	3.77 	3.77 	3.87 23001S 
5.16	0.41 	3.94 	5.00 	5.04 23001T 
4.92	0.00 	0.00 	0.00 	0.00 23001U 
2.36	1.03 	1.94 	3.76 	3.70 23001X 
0.00	0.01 	0.00 	0.00 	0.00 23001Z 
0.39	0.52 	0.27 	0.27 	0.27 23001Z 
1.04	0.00 	0.79 	0.79 	0.68 230020 
0.00	0.01 	0.00 	0.00 	0.00 230021 
0.00	0.00 	0.00 	0.00 	0.00 230021 
0.35	1.00 	0.96 	0.96 	0.93 230021 
0.35	1.01 	0.96 	0.96 	0.94 230021 
0.35	1.00 	0.97 	0.97 	0.94 230021 
0.35	1.00 	0.96 	0.96 	0.94 230021 
0.00	0.06 	0.05 	0.05 	0.05 230023 
3.25	1.80 	3.85 	3.85 	3.78 230023 
5.52	6.46 	4.75 	4.75 	4.66 230023 
0.00	3.02 	0.64 	0.80 	0.81 230024 
0.15	0.00 	0.00 	0.00 	0.00 230024 
0.15	1.12 	0.61 	0.57 	0.57 230024 
0.15	0.01 	0.01 	0.01 	0.01 230024 
0.46	8.52 	1.89 	2.03 	1.47 230024 
0.79	7.62 	2.92 	2.95 	2.38 230024 
5.25	11.33 	9.32 	9.50 	9.53 230024 
5.25	13.08 	10.08 	10.19 	10.27 230024 
5.60	17.33 	10.05 	10.17 	9.61 230024 
5.60	11.81 	9.04 	9.29 	9.33 230024 
5.60	9.70 	8.40 	8.58 	8.60 230024 
6.16	15.54 	9.71 	9.71 	9.12 230024 
6.17	10.06 	9.21 	9.12 	9.13 230024 
6.17	8.88 	8.47 	8.43 	8.45 230024 
6.72	14.32 	8.77 	8.74 	8.16 230024 
0.00	0.37 	0.14 	0.14 	0.11 230028 
0.05	0.00 	0.00 	0.00 	0.00 230028 
0.05	0.00 	0.01 	0.01 	0.01 230028 
2.77	1.17 	2.65 	2.65 	2.68 230028 
2.82	1.38 	3.14 	3.14 	3.12 230028 
2.77	1.17 	2.65 	2.65 	2.68 230028 
3.83	5.29 	4.30 	4.30 	4.28 230028 
3.84	5.55 	4.70 	4.70 	4.69 230028 
3.90	4.21 	4.22 	4.22 	4.21 230028 
3.90	4.22 	4.23 	4.23 	4.21 230028 
4.41	3.39 	5.34 	5.34 	5.36 230028 
4.49	4.05 	5.95 	5.95 	5.89 230028 
3.83	5.29 	4.30 	4.30 	4.27 230028 
4.49	4.05 	5.95 	5.95 	5.90 230028 
1.15	0.53 	3.28 	1.63 	1.53 230029 
2.32	1.98 	8.17 	9.59 	9.84 230029 
2.63	2.25 	0.00 	10.96 	11.20 230029 
3.94	0.19 	3.07 	12.86 	12.97 230029 
4.12	0.13 	10.51 	9.98 	10.14 230029 
4.37	0.02 	1.86 	10.99 	11.17 230029 
4.37	0.00 	1.82 	10.96 	11.14 230029 
4.37	0.02 	1.88 	10.98 	11.16 230029 
2.30	4.24 	5.70 	5.70 	5.75 23002B 
0.00	0.07 	0.00 	0.00 	0.00 23002C 
0.80	0.00 	0.10 	0.10 	0.10 23002C 
2.58	2.35 	0.61 	0.61 	0.59 23002D 
2.58	2.34 	0.61 	0.61 	0.59 23002D 
6.45	9.49 	9.66 	9.66 	9.66 23002D 
6.45	9.49 	9.66 	9.66 	9.66 23002D 
9.03	12.99 	13.15 	13.15 	13.11 23002D 
0.25	1.38 	1.94 	1.94 	1.88 23002E 
3.97	7.96 	3.12 	3.12 	3.15 23002E 
3.97	7.96 	3.12 	3.12 	3.15 23002E 
4.18	7.64 	3.51 	3.51 	3.51 23002E 
4.97	8.94 	7.35 	7.35 	7.41 23002E 
6.38	9.75 	9.30 	9.30 	9.36 23002E 
6.56	11.25 	11.26 	11.26 	11.22 23002E 
