#E_RMSD:ini opt reo ret zincID
2.31072 1.53828 1.53828 1.52468 ZINC000068575710
2.09733 1.91591 1.91591 1.97263 ZINC000068575710n
0.569678 0.692074 0.692074 0.397786 ZINC000068585096n
0.5892 0.175418 0.175418 0.206709 ZINC000068587490
4.60169 3.12586 3.12586 3.23695 ZINC000068939485n
2.10228 1.27113 1.27113 1.20373 ZINC000069022235
2.66503 3.72074 3.72074 3.73288 ZINC000069512662_1
1.51185 2.99465 2.99465 3.00222 ZINC000069853220
0 0 0 0 ZINC000069853220_1
2.03647 1.13137 1.7112 1.63342 ZINC000070026049
2.51252 1.74212 1.74212 1.66426 ZINC000070588021n
2.45871 1.63183 1.63183 1.59013 ZINC000070632654
0.775706 2.29457 2.29457 2.29764 ZINC000070651956_1
