#Atom_RMSD:ini opt rep pre zincid
0.170427 0.195218 0.185187 0.184623 ZINC000004214486
0.0511254 0.0536475 0.0536475 0.0538352 ZINC000004214486_2
0.0500266 0.0552707 0.0552707 0.0560732 ZINC000004237890
0.0809291 0.0820415 0.0820415 0.0827733 ZINC000004237890n
0.0699746 0.0767073 0.0767073 0.0766588 ZINC000004262098
0.17769 0.169014 0.169014 0.169014 ZINC000004271993
0.138116 0.0882083 0.0882083 0.0867055 ZINC000004303615
0.0987264 0.109835 0.109835 0.110031 ZINC000004329339
0.0891002 0.100519 0.100519 0.0997227 ZINC000004419542_1
0.210573 0.0999491 0.0999491 0.0997771 ZINC000004521853
0.229298 0.24177 0.24177 0.242273 ZINC000004642428
0.0805914 0.0602737 0.0602737 0.060224 ZINC000004663220_1
0.551727 0.0698353 0.0698353 0.0702223 ZINC000004708120_1
0.147145 0.168512 0.168512 0.169251 ZINC000004715062n
0.101234 0.0900358 0.0900358 0.0902768 ZINC000004718856
0.0835516 0.0903608 0.0903608 0.0905076 ZINC000004722141n
0.201928 0.152037 0.152037 0.151202 ZINC000004753987
0.056805 0.0666233 0.0666233 0.0670781 ZINC000004765095
0.0701841 0.0887985 0.0887985 0.088542 ZINC000004776052
0.108536 0.126911 0.126911 0.125193 ZINC000004777715
0.099218 0.0840916 0.0840916 0.0941351 ZINC000004800545
0.294347 0.132121 0.132121 0.129337 ZINC000004803017
0.133562 0.106137 0.106137 0.106161 ZINC000004803017n
0.111345 0.10739 0.10739 0.107331 ZINC000004803166
0.104222 0.0883062 0.0883062 0.0854257 ZINC000004812189
0.0670029 0.0607871 0.0607871 0.0635311 ZINC000004829905
0.0453775 0.0766857 0.0766857 0.0758156 ZINC000004831127_1
0.338093 0.341754 0.341754 0.342202 ZINC000004837503
0.157798 0.131123 0.131123 0.132255 ZINC000004945865
0.0901856 0.0824295 0.0824295 0.0830407 ZINC000004948170
0.118372 0.113983 0.113983 0.112946 ZINC000004972506n
0.275691 0.283683 0.283683 0.283464 ZINC000004983935
0.0680938 0.0618467 0.0618467 0.061548 ZINC000005004779n
0.0653804 0.0614864 0.0614864 0.0617054 ZINC000005046237n
0.103192 0.0871996 0.0871996 0.0872699 ZINC000005064297
0.0405179 0.039297 0.039297 0.0394281 ZINC000005092432
0.0860373 0.0866102 0.0866102 0.0867049 ZINC000005103411
0.0648001 0.0620101 0.0620101 0.0625 ZINC000005120986
0.154655 0.110683 0.110683 0.110493 ZINC000005282860
0.0824698 0.0879993 0.0879993 0.0874753 ZINC000005282936
0.355857 0.18566 0.18566 0.185743 ZINC000005328863
0.0933879 0.0789339 0.0789339 0.0785521 ZINC000005356732
0.0764019 0.093266 0.093266 0.0931749 ZINC000005368516_1
0.291484 0.0549813 0.0549813 0.0552596 ZINC000005375234
0.108767 0.080028 0.080028 0.0783017 ZINC000005377859
0.173625 0.154699 0.154699 0.153373 ZINC000005392875
0.0485137 0.0477464 0.0477464 0.0478004 ZINC000005398141_2
0.313023 0.229997 0.229997 0.226367 ZINC000005409176
0.11915 0.0978951 0.0978951 0.100208 ZINC000005422896
0.0678679 0.0699511 0.0699511 0.0684093 ZINC000005482225
0.449066 0.0885762 0.0885762 0.088978 ZINC000005495750
0.0888428 0.0984838 0.0984838 0.0980857 ZINC000005496263_1
0.0592892 0.0607433 0.0607433 0.0605848 ZINC000005496347_1
0.145186 0.0787257 0.0787257 0.0793153 ZINC000005496377_1
0.372897 0.164267 0.164267 0.163031 ZINC000005514950
0.0847464 0.0906741 0.0906741 0.0890368 ZINC000005551296_1
0.0981798 0.106632 0.106632 0.10704 ZINC000005551296n
0.0719013 0.066075 0.066075 0.065901 ZINC000005551296n_1
0.0915222 0.0756277 0.0756277 0.0756743 ZINC000005566939
0.152106 0.107643 0.107643 0.108659 ZINC000005572792
0.331 0.127096 0.127096 0.127003 ZINC000005583033_1
0.0885268 0.140735 0.140735 0.138759 ZINC000005583033_1_1
0.100021 0.103483 0.103483 0.102911 ZINC000005600318n
0.0847293 0.079544 0.079544 0.0800882 ZINC000005659883
0.118413 0.0988827 0.0988827 0.0985694 ZINC000005684049
0.131375 0.139495 0.139495 0.136642 ZINC000005741199
0.0649678 0.0352533 0.0352533 0.0358872 ZINC000005742670_1
0.148388 0.149109 0.149109 0.150261 ZINC000005760696
0.0545073 0.0787589 0.0787589 0.0785696 ZINC000005760696_1
0.183234 0.082543 0.082543 0.0829742 ZINC000005773132_1
0.104057 0.09061 0.09061 0.0861978 ZINC000005928269_2
0.102167 0.10533 0.10533 0.105773 ZINC000005928269n
0.11561 0.125673 0.125673 0.12345 ZINC000005932712
0.177144 0.188683 0.188683 0.186674 ZINC000005939868
0.0540495 0.038028 0.038028 0.0375848 ZINC000005939868_1
0.140643 0.0745792 0.0745792 0.0745271 ZINC000005986331
0.659979 0.201965 0.201965 0.209902 ZINC000005997783
0.107476 0.0601612 0.0601612 0.0592323 ZINC000006069105
0.0854069 0.106669 0.106669 0.102426 ZINC000006158590
0.0398643 0.0409999 0.0409999 0.0409999 ZINC000006361500
0.187458 0.115448 0.115448 0.115899 ZINC000006420595
0.0881224 0.0948363 0.0771824 0.0775865 ZINC000006448831_1
0.144934 0.137172 0.137172 0.136372 ZINC000006504156
0.288587 0.344128 0.344128 0.341759 ZINC000006566832_1
0.114012 0.131189 0.131189 0.133053 ZINC000006672310
0.0725653 0.0791805 0.0791805 0.0797925 ZINC000006815534
0.449925 0.3872 0.3872 0.386779 ZINC000007141472
0.075398 0.0751863 0.0751863 0.0755364 ZINC000007778791
0.0766476 0.10751 0.10751 0.108231 ZINC000008100974
0.0756118 0.0494443 0.0494443 0.0505451 ZINC000008299379
0.138911 0.101912 0.101912 0.0977581 ZINC000008413630
0.0347985 0.0357008 0.0357008 0.03544 ZINC000008413630_1
0.0936963 0.119809 0.119809 0.117247 ZINC000008575676
0.0787439 0.0850882 0.0850882 0.0855489 ZINC000008616088
0.27791 0.278561 0.278561 0.278087 ZINC000008618569
0.15167 0.215137 0.215137 0.227815 ZINC000008731869
0.0961009 0.102454 0.102454 0.107256 ZINC000008731869n
0.0508536 0.0548557 0.0548557 0.0495354 ZINC000008755350
0.0904362 0.0768527 0.0768527 0.0782148 ZINC000009954092_1
0.38358 0.214057 0.214057 0.21411 ZINC000011567736
0.278182 0.125074 0.125074 0.138732 ZINC000011567736n
0.0668091 0.0710004 0.0710004 0.0714099 ZINC000011597105n
0.112527 0.123289 0.123289 0.123487 ZINC000011631704n
0.133484 0.0877714 0.0877714 0.0862011 ZINC000011848828
0.197024 0.169831 0.169831 0.171928 ZINC000011848828n
0.0931701 0.0769917 0.0769917 0.077667 ZINC000011867375
0.0960004 0.121527 0.121527 0.118409 ZINC000011920335
0.111823 0.115917 0.115917 0.116029 ZINC000012153222
0.0792588 0.0920621 0.0920621 0.0919783 ZINC000012359370
0.0858547 0.112778 0.112778 0.112984 ZINC000012360535n
0.115743 0.132546 0.132546 0.134931 ZINC000012394573
0.0580596 0.0571817 0.0571817 0.0572647 ZINC000012394573n
0.101813 0.107264 0.107264 0.104739 ZINC000012416954
0.0987334 0.0944198 0.0944198 0.0961774 ZINC000012433147
0.106744 0.118835 0.118835 0.118352 ZINC000012446871
0.129049 0.143373 0.143373 0.144055 ZINC000012504937
0.029032 0.0289238 0.0289238 0.0287441 ZINC000012603478
0.0787485 0.073957 0.073957 0.0739196 ZINC000012650823_1
0.139699 0.0709751 0.0709751 0.0715323 ZINC000013209422
0.0370065 0.155182 0.167151 0.163312 ZINC000013228217
0.124649 0.127139 0.127139 0.126335 ZINC000013284845n
0.146135 0.119 0.119806 0.119529 ZINC000013284968n
0.116646 0.120976 0.120976 0.121358 ZINC000013437802
0.09414 0.0929122 0.0929122 0.0928735 ZINC000013525814
0.123987 0.104285 0.104285 0.100803 ZINC000013573731
0.164222 0.162667 0.162667 0.162519 ZINC000013637396
0.133464 0.142257 0.142257 0.136915 ZINC000013653875
0.116783 0.088568 0.088568 0.0877286 ZINC000013653875n
0.0934522 0.145493 0.145493 0.12205 ZINC000013858485
0.088051 0.133602 0.133602 0.131989 ZINC000013997957_1
0.100334 0.0807083 0.0807083 0.0808413 ZINC000014988034
0.390236 0.0688513 0.0688513 0.0686735 ZINC000015444386
0.16247 0.160419 0.160419 0.160098 ZINC000015864704
0.0716123 0.194236 0.194236 0.168581 ZINC000016159453
0.26027 0.0854228 0.0854228 0.0860728 ZINC000016954046_1
0.468516 0.0796207 0.0922221 0.0875071 ZINC000017025509
0.0524229 0.0700936 0.0700936 0.0700871 ZINC000017107912_1
0.0567826 0.233671 0.233671 0.234015 ZINC000017126154
0.467819 0.20062 0.20062 0.201544 ZINC000017142425_1
0.176585 0.0958582 0.0958582 0.0970396 ZINC000017191210
0.150776 0.0970485 0.0970485 0.0971544 ZINC000017299419
0.0589819 0.0680992 0.0680992 0.0687905 ZINC000018208791
