#E_RMSD:ini opt rep pre zincID
1.48053 0.594189 0.594189 0.610033 ZINC000004972506n
3.11784 1.60914 1.60914 1.54599 ZINC000004983935
0.44 0.51 0.51 0.52 ZINC000005004779n
2.29767 2.35584 2.35584 2.29907 ZINC000005046237n
6.01673 4.44198 4.44198 4.42926 ZINC000005064297
0 0 0 0 ZINC000005092432
2.25602 3.99187 3.99187 3.976 ZINC000005103411
2.15575 1.85974 1.85974 1.8527 ZINC000005120986
3.8443 2.30588 2.30588 2.28026 ZINC000005282860
0.906488 0.882054 0.882054 0.921336 ZINC000005282936
2.26139 1.48673 1.48673 1.57931 ZINC000005328863
15.03 0.14 0.14 1.51 ZINC000005356732
0.65 0.48 0.48 0.465027 ZINC000005368516_1
0 0 0 0 ZINC000005375234
0.100995 0.0960469 0.0960469 0.0960469 ZINC000005377859
2.33474 1.84589 1.84589 1.69613 ZINC000005392875
1.17 0.71 0.71 0.6 ZINC000005398141_2
1.05106 5.50102 5.50102 5.14465 ZINC000005409176
0.08 0.22 0.22 0.24 ZINC000005422896
1.37207 1.5934 1.5934 1.49689 ZINC000005482225
3.42856 1.75392 1.75392 1.77303 ZINC000005495750
5.05987 2.32216 2.32216 2.11409 ZINC000005496263_1
0.02 0.02 0.02 0.02 ZINC000005496347_1
4.06083 0.642767 0.642767 0.630119 ZINC000005496377_1
1.45 1.15 1.15 0.99 ZINC000005514950
0.927685 0.852858 0.852858 0.589378 ZINC000005551296_1
3.64606 3.75464 3.75464 3.65411 ZINC000005551296n
3.68738 3.71735 3.71735 3.71797 ZINC000005551296n_1
5.9505 6.14274 6.14274 6.06368 ZINC000005566939
7.17783 4.56134 4.56134 4.76802 ZINC000005572792
0.03 0.31 0.31 0.25 ZINC000005583033_1
1.06 0.47 0.47 0.43 ZINC000005583033_1_1
9.10513 6.66708 6.66708 6.59568 ZINC000005600318n
1.15873 1.73435 1.73435 1.80901 ZINC000005659883
0.0996661 0.202402 0.202402 0.211187 ZINC000005684049
6.62719 2.89344 2.89344 2.73991 ZINC000005741199
1.29031 0.00707107 0.00707107 0.0282843 ZINC000005742670_1
7.4693 2.98279 2.98279 2.88885 ZINC000005760696
2.94457 1.00382 1.00382 0.942274 ZINC000005760696_1
8.36 0.39 0.39 0.48 ZINC000005773132_1
0.88 0.68 0.68 0.79 ZINC000005928269_2
1.14633 0.868927 0.868927 0.955521 ZINC000005928269n
0.24 1.34 1.34 1.95 ZINC000005932712
0 0 0 0 ZINC000005939868
18.55 0.14 0.14 0.17 ZINC000005939868_1
4.1959 3.90037 3.90037 3.96671 ZINC000005986331
0.52 0.74 0.74 0.78 ZINC000005997783
0.0141421 0 0 0 ZINC000006069105
1.40144 1.48309 1.48309 1.37676 ZINC000006158590
3.85884 1.02092 1.02092 1.02092 ZINC000006361500
0.44 0.15 0.15 0.15 ZINC000006420595
0.17 0 0 0 ZINC000006448831_1
1.71677 1.42677 1.42677 1.84007 ZINC000006504156
2.30783 0.141421 0.141421 0.155563 ZINC000006566832_1
0.07 0.07 0.07 0.07 ZINC000006672310
0.0535413 0.0129099 0.0129099 0.0129099 ZINC000006815534
2.67295 0.0424264 0.0424264 0.0424264 ZINC000007141472
0.0790569 3.26075 3.26075 3.01106 ZINC000007778791
2.11147 1.09463 1.09463 0.990836 ZINC000008100974
0 0.0163299 0.0163299 0.0163299 ZINC000008299379
0.79166 0.113137 0.113137 0.0777817 ZINC000008413630
0.814002 0.148492 0.148492 0.13435 ZINC000008413630_1
1.348 1.4667 1.4667 1.37303 ZINC000008575676
