#Atom_RMSD:ini opt reo ret zincid
0.0904375 0.0768527 0.0768527 0.0782147 2300BF
0.405893 0.256424 0.256424 0.253873 2300BG
0.334356 0.238735 0.238735 0.247007 2300BH
0.222254 0.452508 0.452508 0.452383 2300BI
0.514436 0.253461 0.253461 0.253141 2300BK
0.172675 0.126989 0.126989 0.124776 2300BM
0.443041 0.500335 0.500335 0.463672 2300BN
0.580052 0.576735 0.576735 0.577097 2300BO
0.472507 0.384347 0.384347 0.377028 2300BP
0.188056 0.197139 0.197139 0.196902 2300BQ
0.234575 0.220789 0.220789 0.220396 2300BT
0.184315 0.209926 0.209926 0.208683 2300BU
0.290121 0.144756 0.144756 0.151839 2300BV
0.101499 0.314023 0.314023 0.314844 2300BW
0.389322 0.392886 0.392886 0.38742 2300BY
0.181128 0.193804 0.193804 0.19612 2300BZ
0.410569 0.327928 0.327928 0.320542 2300C1
0.312172 0.453547 0.453547 0.454078 2300C2
0.0287298 0.0285708 0.0285708 0.0283897 2300C3
0.449439 0.339973 0.339973 0.24047 2300C4
0.162355 0.134072 0.134072 0.134251 2300C5
0.385958 0.312362 0.327658 0.31056 2300C6
0.174467 0.184652 0.184652 0.183442 2300C7
0.282196 0.210952 0.160706 0.161116 2300C8
0.170577 0.177338 0.177338 0.171495 2300CA
0.322112 0.28668 0.28668 0.279485 2300CB
0.749942 0.695929 0.695929 0.680498 2300CC
0.152333 0.150778 0.150778 0.150504 2300CD
0.50081 0.317389 0.317389 0.32214 2300CE
0.347102 0.387441 0.387441 0.38367 2300CF
0.177309 0.220273 0.220273 0.189613 2300CG
0.359928 0.301084 0.301084 0.300291 2300CH
0.192245 0.0934317 0.0934317 0.0931404 2300CJ
0.431503 0.0965697 0.0965697 0.0953005 2300CK
0.508611 0.335454 0.335454 0.335019 2300CM
0.358126 0.369679 0.369679 0.363679 2300CO
0.28827 0.0876321 0.0876321 0.0901953 2300CT
0.465017 0.272719 0.339569 0.316636 2300CU
0.481532 0.484185 0.484185 0.484194 2300CW
